id,name,description,sku,price,stock_quantity,weight,status,vendor_id,low_stock_threshold,min_order_quantity,average_rating,total_reviews,thumbnail_url,image_urls,is_active,discount_value,created_at,updated_at
1,Samsung Galaxy S22 Ultra,Description of Samsung Galaxy S22 Ultra,SKU0001,48.92,160,5.11,INACTIVE,2,12,5,1.12,594,https://example.com/thumb_1.jpg,https://example.com/images/product_1.jpg,1,9.37,2023-09-21 07:11:31.131098,2024-03-02 08:29:04.106461
2,Apple MacBook Air M2,Description of Apple MacBook Air M2,SKU0002,23.83,912,8.73,INACTIVE,4,17,1,2.19,927,https://example.com/thumb_2.jpg,https://example.com/images/product_2.jpg,1,27.82,2024-04-06 02:12:32.576883,2024-06-12 04:54:28.175750
3,HP Envy x360 Laptop,Description of HP Envy x360 Laptop,SKU0003,89.42,269,7.77,ACTIVE,2,14,1,1.56,338,https://example.com/thumb_3.jpg,https://example.com/images/product_3.jpg,1,0.35,2023-10-22 15:08:19.987788,2024-07-22 17:36:49.293253
4,Dell XPS 13,Description of Dell XPS 13,SKU0004,43.46,363,0.64,INACTIVE,4,6,3,4.25,510,https://example.com/thumb_4.jpg,https://example.com/images/product_4.jpg,1,27.15,2023-12-30 16:48:29.618538,2024-02-26 16:16:05.022789
5,Logitech MX Master 3 Mouse,Description of Logitech MX Master 3 Mouse,SKU0005,27.47,520,3.35,INACTIVE,4,13,1,3.14,143,https://example.com/thumb_5.jpg,https://example.com/images/product_5.jpg,1,14.69,2023-04-05 22:04:12.165100,2024-05-22 17:01:48.855402
6,Razer BlackWidow Keyboard,Description of Razer BlackWidow Keyboard,SKU0006,64.54,520,8.54,DRAFT,7,4,2,2.62,619,https://example.com/thumb_6.jpg,https://example.com/images/product_6.jpg,0,12.09,2023-07-03 13:06:36.544027,2023-09-18 01:01:12.432560
7,ASUS ROG Strix GPU,Description of ASUS ROG Strix GPU,SKU0007,23.68,592,5.63,ACTIVE,9,18,2,3.9,531,https://example.com/thumb_7.jpg,https://example.com/images/product_7.jpg,1,5.67,2023-03-11 09:06:28.389720,2024-03-05 22:39:34.958753
8,MSI Gaming Laptop,Description of MSI Gaming Laptop,SKU0008,68.52,614,7.91,DRAFT,10,16,2,4.5,277,https://example.com/thumb_8.jpg,https://example.com/images/product_8.jpg,1,8.59,2024-02-15 03:15:49.499047,2024-12-12 04:10:15.279810
9,Apple iPad Pro,Description of Apple iPad Pro,SKU0009,64.51,929,8.54,ACTIVE,9,13,5,2.51,477,https://example.com/thumb_9.jpg,https://example.com/images/product_9.jpg,1,0.14,2023-02-25 21:12:47.584316,2023-06-11 04:17:44.693099
10,Xiaomi Pad 5,Description of Xiaomi Pad 5,SKU0010,9.74,197,4.29,INACTIVE,7,5,2,4.57,105,https://example.com/thumb_10.jpg,https://example.com/images/product_10.jpg,0,17.88,2024-08-14 16:47:48.939071,2024-07-10 01:35:31.099033
11,GoPro Hero11,Description of GoPro Hero11,SKU0011,30.2,303,2.03,DRAFT,8,13,5,3.72,534,https://example.com/thumb_11.jpg,https://example.com/images/product_11.jpg,0,9.76,2024-07-05 00:06:34.401768,2024-03-05 12:29:55.676199
12,DJI Mini 3 Drone,Description of DJI Mini 3 Drone,SKU0012,91.89,584,2.81,DRAFT,8,11,5,3.03,620,https://example.com/thumb_12.jpg,https://example.com/images/product_12.jpg,0,2.06,2024-12-09 00:11:19.065166,2024-06-08 08:23:18.629385
13,Canon PIXMA Printer,Description of Canon PIXMA Printer,SKU0013,69.72,40,9.93,DRAFT,2,12,4,1.65,957,https://example.com/thumb_13.jpg,https://example.com/images/product_13.jpg,1,29.24,2023-09-21 00:48:35.275933,2023-04-26 00:09:40.863559
14,OnePlus Nord CE 3 Lite,Description of OnePlus Nord CE 3 Lite,SKU0014,81.57,551,6.96,ACTIVE,2,10,5,2.91,799,https://example.com/thumb_14.jpg,https://example.com/images/product_14.jpg,0,19.66,2023-12-24 19:19:04.859349,2024-01-05 17:06:25.582200
15,Nike Air Max 270,Description of Nike Air Max 270,SKU0015,48.05,517,4.15,INACTIVE,9,10,1,4.57,176,https://example.com/thumb_15.jpg,https://example.com/images/product_15.jpg,0,15.78,2024-01-26 11:48:24.366931,2023-04-01 12:30:16.011209
16,Adidas Ultraboost,Description of Adidas Ultraboost,SKU0016,19.76,644,2.7,DRAFT,4,8,4,1.85,920,https://example.com/thumb_16.jpg,https://example.com/images/product_16.jpg,0,3.94,2024-11-04 22:52:12.461230,2024-08-03 21:31:51.403705
17,MAC Matte Lipstick,Description of MAC Matte Lipstick,SKU0017,9.68,425,6.82,INACTIVE,4,19,2,2.63,104,https://example.com/thumb_17.jpg,https://example.com/images/product_17.jpg,1,27.36,2023-08-06 18:37:39.880923,2024-02-07 13:37:08.844103
18,Philips Blender,Description of Philips Blender,SKU0018,48.24,544,1.1,ACTIVE,7,19,1,2.41,653,https://example.com/thumb_18.jpg,https://example.com/images/product_18.jpg,0,16.91,2023-06-11 10:15:41.797216,2023-01-11 20:38:08.685351
