Ballpoint Pens - Office,Car Vacuum - Automotive,Cereal - Grocery,Cookbook - Books,Dash Cam - Automotive,Dishwasher - Home Appliances,Dog Food - Pet Supplies,Dumbbells - Sports,Football - Sports,LEGO Set - Toys,Laptop - Electronics,Men's Leather Jacket - Fashion,Microwave Oven - Home Appliances,Mystery Thriller - Books,Notebook - Office,Office Chair - Furniture,Pasta - Grocery,Pet Carrier - Pet Supplies,Puzzle Game - Toys,Remote Control Car - Toys,Running Shoes - Sports,Science Fiction Novel - Books,Self-Help Book - Books,Sneakers - Fashion,Sofa - Furniture,Sunglasses - Fashion,Tire Inflator - Automotive,Vacuum Cleaner - Home Appliances,Women's Handbag - Fashion
False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
